id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;婷方;招;v9rlnf94@qq.com;um dreamer 按;2024-02-23T00:33:49;14837;25923
2;修洁;蔺;ktzmzi_i4f@21cn.com;ounce;2024-02-22T16:04:56;22884;11440
3;楷瑞;闳;nlrlqi.l9x@yeah.net;into gradient;2024-02-23T04:34:32;17871;21320
4;浩宇;年;ggqk1z_sl1@gmail.com;共;2024-02-22T09:16:55;15516;27325
5;熠彤;荣;i1crqi_g6y46@outlook.com;极;2024-02-23T01:59:47;6917;26738
6;琪;鲜;fmnrmi89@139.com;unlike;2024-02-22T19:55:47;24996;26054
7;昊焱;毓;m97k5q94@outlook.com;劈 咀;2024-02-23T04:00:30;480;7990
8;风华;金;freg6n.mtg38@foxmail.com;and 吃;2024-02-23T01:36:48;25891;22733
9;黎昕;别;k5mhm178@yahoo.cn;considering 滑;2024-02-23T06:42:42;13024;20205
10;天翊;诗;ryilj1.r2y@sohu.com;whose;2024-02-22T18:25:54;13479;13155
